iter	Passed	Remaining
907	1128	114
908	1129	113
909	1130	111
910	1131	110
911	1132	109
912	1133	108
913	1134	106
914	1135	105
915	1137	104
916	1138	103
917	1139	101
918	1140	100
919	1142	99
920	1143	98
921	1144	96
922	1146	95
923	1147	94
924	1148	93
925	1149	91
926	1150	90
927	1151	89
928	1153	88
929	1154	86
930	1155	85
931	1156	84
932	1157	83
933	1158	81
934	1160	80
935	1161	79
936	1162	78
937	1163	76
938	1164	75
939	1165	74
940	1167	73
941	1168	71
942	1169	70
943	1171	69
944	1172	68
945	1173	66
946	1174	65
947	1175	64
948	1176	63
949	1178	62
950	1179	60
951	1180	59
952	1181	58
953	1182	57
954	1184	55
955	1185	54
956	1186	53
957	1187	52
958	1188	50
959	1189	49
960	1190	48
961	1191	47
962	1192	45
963	1193	44
964	1195	43
965	1196	42
966	1197	40
967	1198	39
968	1199	38
969	1200	37
970	1201	35
971	1202	34
972	1204	33
973	1205	32
974	1206	30
975	1207	29
976	1209	28
977	1210	27
978	1211	25
979	1212	24
980	1213	23
981	1214	22
982	1215	21
983	1217	19
984	1218	18
985	1219	17
986	1220	16
987	1221	14
988	1223	13
989	1224	12
990	1225	11
991	1227	9
992	1228	8
993	1229	7
994	1230	6
995	1231	4
996	1233	3
997	1234	2
998	1235	1
999	1236	0
